distinct_1gram,distinct_2gram,distinct_3gram,self_bleu,kl_divergence,vocab_coverage,rare_token_survival,repetition_rate,mean_length,length_std,perplexity,domain,model,mixing_ratio,generation,track
0.1034005410431989,0.6469266561849318,0.921875,0.0006458324600058,0.1432292959255029,0.6225531319910514,0.5633768550806909,0.0,189.264,14.964434636831422,-1.0,wikipedia,gpt2,1.0,0,wikipedia_gpt2_100pct
0.0898382413936126,0.6129612257661038,0.901985540653814,0.0015108649205234,0.1804280234810162,0.5618708053691275,0.4942016057091882,0.0,192.88,14.736336043942536,-1.0,wikipedia,gpt2,1.0,1,wikipedia_gpt2_100pct
0.0797016656661138,0.5811268268237556,0.878689131261629,0.0023153928299276,0.2075599469537256,0.5257270693512305,0.4540588760035682,0.0,196.558,13.069836877329418,-1.0,wikipedia,gpt2,1.0,2,wikipedia_gpt2_100pct
0.0716736905478627,0.5475191609519968,0.8499493209000608,0.0050198715622162,0.2260773169865479,0.5025866890380313,0.4291622739437191,0.0,199.32,11.642319356554346,-1.0,wikipedia,gpt2,1.0,3,wikipedia_gpt2_100pct
0.0661275376969084,0.5162170641461702,0.8214226728793286,0.0072395179774265,0.2461641798191298,0.4807746085011186,0.4046711540021085,0.0,201.807,9.771374058954043,-1.0,wikipedia,gpt2,1.0,4,wikipedia_gpt2_100pct
0.0617559560396331,0.4874163022261755,0.7945720457875003,0.0078243887465226,0.2633608413706066,0.4657438478747203,0.3891006406617468,0.0,203.365,8.484560978624646,-1.0,wikipedia,gpt2,1.0,5,wikipedia_gpt2_100pct
0.0581218199751945,0.4582470533970578,0.7650620827046165,0.0104692664332478,0.2810158602408206,0.4497343400447427,0.3736923201686805,0.0,204.794,7.722277125304426,-1.0,wikipedia,gpt2,1.0,6,wikipedia_gpt2_100pct
0.0542958904642811,0.4312054448910141,0.7369326166212989,0.0107252261610331,0.2985715943672103,0.4359619686800894,0.3599870245722164,0.0,205.522,6.887925377063836,-1.0,wikipedia,gpt2,1.0,7,wikipedia_gpt2_100pct
0.0520258184928843,0.4074942367053491,0.7080061253337522,0.0163480603813861,0.3117128243709594,0.4229586129753915,0.3470115967885816,0.0,205.744,6.452322372603527,-1.0,wikipedia,gpt2,1.0,8,wikipedia_gpt2_100pct
0.0496319336946869,0.381315310834467,0.676411354537748,0.0174997567630763,0.3252181439994439,0.4091163310961969,0.332576433379288,0.0,206.077,6.107296537748925,-1.0,wikipedia,gpt2,1.0,9,wikipedia_gpt2_100pct
0.0472000853159599,0.3564142781988582,0.6433095764885556,0.020064458422525,0.3392903778886979,0.3956236017897092,0.3200875841375395,0.0,206.292,5.752976273199812,-1.0,wikipedia,gpt2,1.0,10,wikipedia_gpt2_100pct
0.106643812646719,0.6481250568610557,0.9216018594741174,0.0011302391797148,0.1429833276130344,0.6233920581655481,0.5642689157408158,0.0,187.859,17.177750696758874,-1.0,wikipedia,gpt2,0.75,0,wikipedia_gpt2_75pct
